header,class,mechanism,group
1249|AF409092.1|AF409092|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|B-3|AF162284|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
Bla|TEM-116_4_GU188444|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|734665100|gb|KM589641.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|313586334|gb|HQ529916.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|10641069|dbj|AB049569.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|TEM-209_1_KF240808|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Tet|AM180355.1|gene636|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
Flq|NC_008702.1.4606680|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|TEM-110|AY130283|1-785|785|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|1524365|emb|X92507.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|M22999|492-1359|ARO:3002541|AAC3-VIIa|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
Gly|VanY-A_1_FJ866609|Glycopeptides|VanA-type_accessory_protein|VANYA,Glycopeptides,VanA-type accessory protein,VANYA
gi|209892783|gb|FJ234412.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
Bla|SHV-1_9_HM751102|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|strB_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Bla|TEM-205_1_KC900516|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Mdr|NC_010410.6002907|Multi-drug_resistance|MDR_regulator|ADER,Multi-drug resistance,MDR regulator,ADER
gi|81238144|gb|DQ256091.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|LEN24_1_AM850914|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|CTX-M-2|EF592570|5803-6678|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
252|FJ744595.1|FJ744595|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRD,Multi-drug resistance,Multi-drug efflux pumps,EMRD
Bla|TEM-85|AJ277414|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|ACT-1|U58495|28-1173|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|HERA-4|AJ536088|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA
Bla|KJ135345.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR,MLS,23S rRNA methyltransferases,ERMR
gi|16798373|gb|AF427129.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|AF355189.1|gene2|1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME
Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Tmt|DfrA15b|AJ867237|117-650|474|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
Bla|cphA5|AY227051|1-765|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
gi|208431881|gb|FJ194494.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|264665731|gb|GQ290211.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CMY-39_1_HM565135|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|45771831|emb|AJ632249.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|BX248333|4182808-4186105|ARO:3003325|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBB
Bla|CTX-M-35|AB176534|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AL009126|1376516-1376855|ARO:3003063|ykkC|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKC,Multi-drug resistance,Multi-drug efflux pumps,YKKC
Bla|OXA-320|KF151169|1-831|831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|379056275|dbj|AB700703.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|FONA-1|AJ251239|1054-1941|888|betalactams|Class_A_betalactamases|FONA,betalactams,Class A betalactamases,FONA
@phgb|AL009126|916777-919348|ARO:3000863|mprF|Multi-drug_resistance|Mutant_porin_proteins|MPRF,Multi-drug resistance,Mutant porin proteins,MPRF
Flq|QnrA5|DQ058663|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
1893|DQ143913.1|DQ143913|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|389620063|gb|JQ926986.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|401716858|gb|JX311308.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
@phgb|M93113|0-660|ARO:3002674|catB|Phenicol|Phenicol_efflux_pumps|CAT,Phenicol,Phenicol efflux pumps,CAT
gi|190360314|emb|AM279652.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|402746983|gb|JX313020.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrB4|DQ303921|4-648|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|CMY-34|EF394370|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-17|DQ902344|2717-3517|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|169883503|gb|EU496816.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@pvgb|AL450380|7317-11067|ARO:3003298|Mycobaterium|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|TEM-121|AY307374|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|QnrB29_2_JN173053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Gly|VanH-Pt|DQ018710|5109-6077|969|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
Tet|tet38_3_FR821779|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET38,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET38
Bla|OXA-45|AM849110|2553-3347|795|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tet39_3_DQ195075|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET39,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET39
Bla|IMIH|AJ548797|924-1688|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
@pvgb|CP001485|257295-258480|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
gi|81365639|gb|DQ105529.2|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|M19530|415-1186|ARO:3002878|BcII|betalactams|Class_B_betalactamases|BCII,betalactams,Class B betalactamases,BCII
Gly|VanW-B|AY655721|3069-3896|828|Glycopeptides|VanB-type_accessory_protein|VANWB,Glycopeptides,VanB-type accessory protein,VANWB
gi|3021576|emb|AJ005044.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXA-169|HM488990|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1500|AY339625.2|AY339625|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
Flq|NC_007795.3919179|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Tet|tetG_1_AJ276217|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG
Flq|norA_1_M97169|Fluoroquinolones|Quinolone_active_efflux|NORA,Fluoroquinolones,Quinolone active efflux,NORA
Bla|TEM-164|EU274580|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|SHV-1_17_FJ668799|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|M19269|459-1419|ARO:3001304|ErmS|MLS|23S_rRNA_methyltransferases|ERMS,MLS,23S rRNA methyltransferases,ERMS
Phe|CatB3|AJ009818|883-1515|633|Phenicol|Chloramphenicol_acetyltransferases|CATB,Phenicol,Chloramphenicol acetyltransferases,CATB
Bla|OXA-132|EU547447|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|698174221|gb|KM087865.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|49035768|gb|AY635904.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|256860802|gb|GQ402541.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|16798371|gb|AF427128.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|393716100|dbj|AB733453.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|Aac6-Ik|L29510|369-806|438|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
@phgb|FJ872411|43513-44203|ARO:3002924|vanRE|Glycopeptides|VanE-type_regulator|VANRE,Glycopeptides,VanE-type regulator,VANRE
1202|AF318077.1|AF318077|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
1707|EU259884.2|EU259884|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
MLS|ErmE|M11200|284-1396|1146|MLS|23S_rRNA_methyltransferases|ERME,MLS,23S rRNA methyltransferases,ERME
gi|257152901|emb|AJ555823.2|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-146|FJ194460|174-998|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|NC_002695|4903561-4904935|ARO:3000830|cpxA|Multi-drug_resistance|MDR_regulator|CPXA,Multi-drug resistance,MDR regulator,CPXA
Bla|TEM-1D|AF188200|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|37359439|gb|AY227054.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|QnrB69_1_KC580658|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Flq|QnrB10_8_HM439644|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
871|DQ022190.1|DQ022190|Glycopeptides|VanC-type_regulator|VANRC,Glycopeptides,VanC-type regulator,VANRC
@phgb|NC_013450|694852-695296|ARO:3000815|mgrA|Multi-drug_resistance|MDR_regulator|MGRA,Multi-drug resistance,MDR regulator,MGRA
gi|725539566|gb|KM433672.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|AY758206.1|gene7|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|cepA_6_FR688022|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA
@phgb|AE016830|2211932-2212277|ARO:3002916|vanV|Glycopeptides|VanB-type_accessory_protein|VANVB,Glycopeptides,VanB-type accessory protein,VANVB
1327|AF010416.1|AF010416|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
Tet|tetM_2_X90939|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MLS|ermB_11_M19270|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Gly|VanXYc2_c3|EU151760|1078-1650|573|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
gi|558605698|gb|KF526118.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
gi|161016656|emb|AM849805.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|AM087405.1|gene3|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@phgb|AF441287|260-1007|ARO:3000844|TUS-1|betalactams|Class_B_betalactamases|TUS,betalactams,Class B betalactamases,TUS
Bla|VIM-2|AY884050|551-1351|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Tmt|DfrA12|Z21672|310-807|498|Trimethoprim|Dihydrofolate_reductase|DHFR,Trimethoprim,Dihydrofolate reductase,DHFR
gi|591389147|gb|KF986256.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
222|JQ394987.1|JQ394987|Multi-drug_resistance|Multi-drug_efflux_pumps|MDFA,Multi-drug resistance,Multi-drug efflux pumps,MDFA
Tet|tetJ_1_ACLE01000065|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETJ,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETJ
AGly|Sph|AY037297|3548-2706|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Bla|CTX-M-14_4_EU274579|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@pvgb|CP001918|235165-236350|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
Bla|SHV-1_13_AF462396|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|MIR-4|EF587233|1-1101|1101|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Tet|tetS_1_DQ377340|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS
Bla|Y16410.1|gene2|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
@phgb|KF478993|4909-5947|ARO:3002941|vanSO|Glycopeptides|VanO-type_regulator|VANSO,Glycopeptides,VanO-type regulator,VANSO
Bla|SHV-5_4_AY386369|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1634|AB985401.1|AB985401|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
1390|EU348758.1|EU348758|MLS|23S_rRNA_methyltransferases|ERMA,MLS,23S rRNA methyltransferases,ERMA
1899|AM932669.1|AM932669|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@pvgb|CP001138|613435-614017|ARO:3003379|Salmonella|Multi-drug_resistance|MDR_regulator|RAMR,Multi-drug resistance,MDR regulator,RAMR
Bla|SHV-1_16_FJ668800|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@pvgb|NC_020418|545199-547614|ARO:3003306|Morganella|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB
Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|1524020|emb|X92506.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|sul2_13_AJ289135|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|SHV-6|Y11069|1-780|780|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|FJ666071.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
gi|544598945|gb|KF240809.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AL513383|161910-162771|ARO:3000873|TEM-1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|IMP-34|AB715422|1696-2436|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
@phgb|AY114142|1060-1816|ARO:3002625|ANT4-PRIME-IIb|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT4-PRIME
gi|68012687|gb|DQ061159.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|526260845|gb|KF150216.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|Aph3-VIb|AJ627643|4934-5713|780|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1066|unknown_id|unknown_name|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Bla|CTX-M-17_2_AF454633|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
@phgb|AF326777|23980-24640|ARO:3002670|cat|Phenicol|Phenicol_efflux_pumps|CAT,Phenicol,Phenicol efflux pumps,CAT
Bla|ACT-7|FJ237368|1-1146|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|OXY2-1|AJ871866|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|215398944|gb|FJ437066.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|cfiA3|AB087228|1-750|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Bla|OXA-45_1_AJ519683|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|84782428|gb|DQ335566.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|U00096|2158385-2161463|ARO:3000794|mdtC|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC,Multi-drug resistance,Multi-drug efflux pumps,MDTC
gi|74422858|gb|DQ174308.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CTX-M-6|AJ005045|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|401871184|gb|JX121130.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|SHV-11_14_DQ219474|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|X55353|278-713|ARO:3002553|AAC6-PRIME-If|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
@pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC,Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC
gi|348019511|gb|JN638887.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|NC_010400.5984045|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
@phgb|CP007005|1250264-1251203|ARO:3003186|CARB-23|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|CTX-M-38|AY753197|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
AGly|Aph2-dprime-Id|AF016483|131-1036|906|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
Bla|CTX-M-4|Y14156|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|11493693|gb|AF201827.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|408535170|dbj|AB753458.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|OXA-14|L38523|1-775|775|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|46401609|dbj|AB177384.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|KF526115.1|gene1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|KF152885|29328-29820|ARO:3002639|APH3-DPRIME-Ib|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
Flq|CP002695.1|gene952|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
@phgb|AB429270|14-1160|ARO:3002052|CMY-41|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
11|DQ679966.1|DQ679966|Multi-drug_resistance|Multi-drug_efflux_pumps|ACRB,Multi-drug resistance,Multi-drug efflux pumps,ACRB
@phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD,Multi-drug resistance,Multi-drug efflux pumps,YKKD
Bla|SHV-1_8_GQ407137|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Gly|VanA-Pt_3_DQ018710|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
Sul|FN543093.2|gene431|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Sul|CP001581.1|gene938|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Gly|VanC4|EU151752|29-1081|1053|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC
Bla|ACT-4|AJ311172|12-1157|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
ACou|NC_010410.6000336|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
1293|HM750249.1|HM750249|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
@phgb|AF173226|351-1041|ARO:3003066|smeR|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme
Bla|OKP-A-15|FJ755841|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
gi|58701177|gb|AY750912.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|KP109678|5817-6675|ARO:3003714|PEDO-2|betalactams|Class_B_betalactamases|PEDO,betalactams,Class B betalactamases,PEDO
@pvgb|AL513383|179218-179845|ARO:3003479|tetR|Tetracyclines|Tetracycline_transcriptional_repressor|TETR,Tetracyclines,Tetracycline transcriptional repressor,TETR
1329|EF653400.1|EF653400|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
578|X90856.1|X90856|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MLS|ereA_4_AF512546|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
gi|30984106|gb|AY288915.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
266|AY768531.1|AY768531|Multi-drug_resistance|Multi-drug_efflux_pumps|MACA,Multi-drug resistance,Multi-drug efflux pumps,MACA
Bla|OXA-82|GQ352402|8775-9599|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|Aac6-31|AJ640197|2474-2992|519|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|SHV-42|AF535130|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|121485910|gb|EF136376.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
956|M97297.1|TRNVAN|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
@phgb|NC_010066|9682-10528|ARO:3000621|PC1|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
MLS|ermB_18_X66468|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
Sul|sul1_15_EF667294|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
gi|397174612|dbj|AB737978.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
@phgb|AY080894|3-879|ARO:3001884|CTX-M-22|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
MLS|LmrB|X62867|361-1197|837|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB
Bla|OXY6-4|AJ871877|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
1337|AJ416344.1|AJ416344|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
